id,host_id,district,neighbourhood,latitude,longitude,room_type,price,min_stay,reviews,last_review,reviews_per_month,host_listings
21706165,157250994,Gràcia,la Vila de Gràcia,41.40452,2.16009,Entire home/apt,107,3,2,2019-09-22,0.14,69
21706350,157250994,Gràcia,la Vila de Gràcia,41.40454,2.16047,Entire home/apt,128,3,2,2019-04-29,0.12,69
21706520,157250994,Gràcia,la Vila de Gràcia,41.405029999999996,2.16141,Entire home/apt,152,3,4,2019-07-23,0.25,69
21706932,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40824,2.14651,Entire home/apt,75,3,2,2018-08-02,0.12,69
21707347,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40618,2.14604,Entire home/apt,90,3,2,2019-09-10,0.32,69
21707628,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40755,2.14678,Entire home/apt,107,3,2,2019-06-16,0.36,69
21709497,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40815,2.1457,Entire home/apt,128,3,4,2019-07-28,0.25,69
21709629,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40811,2.14573,Entire home/apt,152,3,1,2019-04-21,0.15,69
21719962,51389505,Sant Martí,el Poblenou,41.4002,2.20304,Entire home/apt,80,2,126,2019-10-27,5.51,1
21720035,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40847,2.14649,Entire home/apt,80,3,0,NA,NA,69
21720300,157250994,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40712,2.1474,Entire home/apt,96,3,1,2019-06-16,0.2,69
21720369,4459553,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40515,2.16947,Entire home/apt,400,3,16,2019-10-13,0.72,140
21720924,4459553,Eixample,la Sagrada Família,41.40842,2.17616,Entire home/apt,400,2,27,2019-10-13,1.38,140
21721001,158023606,Sants-Montjuïc,Hostafrancs,41.37608,2.14494,Entire home/apt,140,1,32,2019-10-11,2.49,128
21721013,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.4123,2.17784,Entire home/apt,147,1,5,2019-09-26,0.85,128
21721023,158023606,Sants-Montjuïc,Hostafrancs,41.37469,2.14467,Entire home/apt,148,1,14,2019-10-21,0.99,128
21721036,158023606,Eixample,la Dreta de l'Eixample,41.39138,2.1715,Entire home/apt,244,1,59,2019-09-24,1.97,128
21721062,158023606,Ciutat Vella,el Barri Gòtic,41.37934,2.1775,Entire home/apt,259,1,39,2019-08-25,0.75,128
21721070,158023606,Eixample,la Dreta de l'Eixample,41.39646,2.17438,Entire home/apt,304,1,45,2019-10-17,0.83,128
21721081,158023606,Eixample,la Dreta de l'Eixample,41.39312,2.17098,Entire home/apt,244,1,17,2019-07-22,0.78,128
21721103,158023606,Eixample,Sant Antoni,41.37654,2.16543,Entire home/apt,298,1,84,2019-10-19,2.11,128
21721122,158023606,Eixample,la Dreta de l'Eixample,41.39223,2.17836,Entire home/apt,221,1,33,2019-09-16,1.7,128
21721133,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41213,2.17799,Entire home/apt,145,1,4,2019-09-11,0.86,128
21721152,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41199,2.17775,Entire home/apt,145,1,3,2019-08-15,0.47,128
21721161,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.38747,2.16497,Entire home/apt,231,1,39,2019-10-02,0.72,128
21721170,158023606,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38724,2.17977,Entire home/apt,203,1,53,2019-10-19,1.09,128
21721181,158023606,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38644,2.18181,Entire home/apt,220,1,33,2019-06-14,0.61,128
21721189,158023606,Sant Martí,el Poblenou,41.39896,2.2083,Entire home/apt,305,1,42,2019-08-12,0.77,128
21721199,158023606,Eixample,la Dreta de l'Eixample,41.39151,2.17999,Entire home/apt,174,1,37,2019-07-24,0.9,128
21721214,158023606,Eixample,la Dreta de l'Eixample,41.39218,2.17525,Entire home/apt,181,1,44,2019-09-23,1.07,128
21721252,158023606,Eixample,la Dreta de l'Eixample,41.39324,2.17691,Entire home/apt,181,1,67,2019-10-17,2.96,128
21721285,158023606,Ciutat Vella,la Barceloneta,41.38246,2.18761,Entire home/apt,212,1,40,2019-10-15,0.72,128
21721286,158023606,Eixample,la Dreta de l'Eixample,41.39335,2.17015,Entire home/apt,254,1,75,2019-10-02,1.9,128
21721289,158023606,Ciutat Vella,el Barri Gòtic,41.38188,2.17577,Entire home/apt,184,1,36,2019-10-23,0.92,128
21721290,158023606,Sants-Montjuïc,Hostafrancs,41.37551,2.14494,Entire home/apt,51,1,2,2019-07-31,0.1,128
21721292,158023606,Sants-Montjuïc,Hostafrancs,41.37423,2.14306,Entire home/apt,147,1,20,2019-08-23,1.69,128
21721305,158023606,Les Corts,les Corts,41.38405,2.13527,Entire home/apt,151,1,48,2019-09-23,1.76,128
21721306,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39352,2.15496,Entire home/apt,172,1,43,2019-10-01,2.62,128
21721312,158023606,Eixample,la Dreta de l'Eixample,41.39409,2.17249,Entire home/apt,211,1,63,2019-08-18,1.19,128
21721317,158023606,Eixample,la Dreta de l'Eixample,41.39458,2.16128,Entire home/apt,176,1,53,2019-10-14,1.09,128
21721327,158023606,Eixample,la Dreta de l'Eixample,41.3923,2.17151,Entire home/apt,208,1,35,2019-06-12,0.71,128
21721356,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39271,2.15477,Entire home/apt,187,1,32,2019-10-16,1.56,128
21721375,158023606,Eixample,la Dreta de l'Eixample,41.39249,2.17107,Entire home/apt,244,1,39,2019-04-10,1.84,128
21721408,157250994,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.4023,2.13434,Entire home/apt,61,3,0,NA,NA,69
21721472,158023606,Eixample,la Dreta de l'Eixample,41.39129,2.17,Entire home/apt,184,1,26,2019-05-08,1.13,128
21721514,158023606,Sants-Montjuïc,Hostafrancs,41.37548,2.14538,Entire home/apt,140,1,16,2019-10-19,0.76,128
21721525,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41242,2.17696,Entire home/apt,146,1,68,2019-10-11,3.17,128
21721532,158023606,Eixample,la Dreta de l'Eixample,41.39211,2.17751,Entire home/apt,160,1,75,2019-10-05,3.39,128
21721543,158023606,Sants-Montjuïc,Sants - Badal,41.37249,2.1287,Entire home/apt,125,1,52,2019-10-25,1.31,128
21721553,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39233,2.15481,Entire home/apt,172,1,44,2019-10-12,2.56,128
21721586,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39223,2.15629,Entire home/apt,172,1,28,2019-10-17,1.69,128
21721591,158023606,Eixample,la Dreta de l'Eixample,41.39402,2.16497,Entire home/apt,130,1,0,NA,NA,128
21721603,158023606,Ciutat Vella,el Barri Gòtic,41.37997,2.1763,Entire home/apt,53,1,7,2017-01-30,0.14,128
21721614,158023606,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39959,2.14374,Entire home/apt,147,1,3,2019-03-30,0.19,128
21721631,158023606,Eixample,la Dreta de l'Eixample,41.39287,2.16467,Entire home/apt,302,1,49,2019-10-06,1.21,128
21721651,158023606,Ciutat Vella,el Raval,41.3812,2.16926,Entire home/apt,59,1,5,2018-03-25,0.14,128
21721653,158023606,Ciutat Vella,el Raval,41.38157,2.17124,Entire home/apt,63,1,5,2019-05-28,0.16,128
21721664,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41228,2.1762,Entire home/apt,147,1,52,2019-10-14,2.3,128
21721691,158023606,Sant Martí,Provençals del Poblenou,41.40978,2.20412,Entire home/apt,195,1,30,2019-08-14,0.83,128
21721702,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41249,2.17799,Entire home/apt,147,1,99,2019-10-10,4.21,128
21721716,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41085,2.17764,Entire home/apt,147,1,22,2019-10-22,2.67,128
21721717,158023606,Sants-Montjuïc,Hostafrancs,41.37431,2.14588,Entire home/apt,148,1,38,2019-10-11,1.85,128
21721730,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39251,2.15654,Entire home/apt,172,1,31,2019-10-24,1.95,128
21721747,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41204,2.17621,Entire home/apt,146,1,28,2019-10-02,2.26,128
21721753,158023606,Eixample,la Dreta de l'Eixample,41.3925,2.17536,Entire home/apt,288,1,70,2019-10-10,1.24,128
21721760,158023606,Eixample,la Dreta de l'Eixample,41.3904,2.16631,Entire home/apt,279,1,20,2019-10-13,0.52,128
21721800,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39345,2.15454,Entire home/apt,187,1,6,2019-06-17,0.38,128
21721812,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.412,2.17829,Entire home/apt,147,1,40,2019-10-25,2.39,128
21721816,158023606,Eixample,la Dreta de l'Eixample,41.3908,2.16957,Entire home/apt,244,1,55,2019-07-25,2.46,128
21721826,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39076,2.16062,Entire home/apt,112,1,16,2019-10-01,1.02,128
21721851,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41253,2.17672,Entire home/apt,145,1,3,2019-09-14,0.53,128
21721855,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.38995,2.15802,Entire home/apt,154,1,35,2019-10-23,2.35,128
21721888,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41233,2.17654,Entire home/apt,147,1,92,2019-10-25,3.9,128
21721983,158023606,Eixample,la Dreta de l'Eixample,41.39105,2.1777,Entire home/apt,174,1,66,2019-09-17,1.21,128
21721984,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39138,2.15953,Entire home/apt,74,1,3,2017-10-27,0.11,128
21721985,158023606,Sants-Montjuïc,Hostafrancs,41.37572,2.1458,Entire home/apt,147,1,28,2019-10-25,1.76,128
21721986,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.4125,2.17688,Entire home/apt,147,1,0,NA,NA,128
21721987,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41251,2.17827,Entire home/apt,147,1,2,2019-06-08,0.34,128
21721988,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41133,2.17793,Entire home/apt,146,1,3,2019-07-12,0.52,128
21721989,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41296,2.17826,Entire home/apt,147,1,60,2019-09-26,2.58,128
21721990,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41294,2.17804,Entire home/apt,147,1,71,2019-10-23,3.01,128
21721993,158023606,Eixample,Sant Antoni,41.37577,2.16495,Entire home/apt,148,1,28,2019-09-26,0.53,128
21721996,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41279,2.17829,Entire home/apt,147,1,70,2019-10-25,3.39,128
